# Rime user dictionary
#@/db_name	wanxiang
#@/db_type	userdb
#@/rime_version	1.10.0
#@/tick	31620
#@/user_id	b05c24aa-c4d6-4bd9-842a-ee5398eb78ba
a 	啊	c=5 d=2.74676 t=31620
chuán gǎn qì 	传感器	c=22 d=3.93656 t=31620
chuán qí 	传奇	c=1 d=0.99005 t=31620
chuán shuō 	传说	c=1 d=0.895834 t=31620
chuán shū 	传输	c=10 d=4.26434 t=31620
chuán tǒng 	传统	c=4 d=2.27117 t=31620
chuán xià qù 	传下去	c=1 d=0.865022 t=31620
chuán yán 	传言	c=3 d=1.90722 t=31620
chuí zhí 	垂直	c=1 d=0.631283 t=31620
chuān 	穿	c=1 d=0.97531 t=31620
chuān yī fú 	穿衣服	c=1 d=0.900325 t=31620
chuāng kǒu 	窗口	c=3 d=1.5285 t=31620
chuī 	吹	c=3 d=1.94501 t=31620
chuī bù qǐ 	吹不起	c=1 d=0.970446 t=31620
chuī luò yè 	吹落叶	c=1 d=0.711771 t=31620
chuī shá 	吹啥	c=2 d=1.68316 t=31620
chà 	差	c=7 d=3.04801 t=31620
chà bu duō 	差不多	c=3 d=1.70514 t=31620
chà bu duō le 	差不多了	c=1 d=0.918512 t=31620
chà diǎn 	差点	c=1 d=0.628135 t=31620
